💕公告提醒,#genre#
关注,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
公众号,http://117.114.153.18:8180/TV00000000000000000092@HHZT
恒星育华学堂,http://119.135.1.16:6699/live/1066/index.m3u8
永久免费,http://58.59.47.242:8180/TV00000000000000000029@HHZT
请勿购买,https://vod2-nflive.southcn.com/6c9b613dvodcq1500007626/690b5f141397757893540164754/playlist_eof.m3u8
APP,http://58.59.47.242:8180/TV00000000000000000031@HHZT
👉👉把家里路由器,http://maomao.kandiantv.cn/douyu1.php?id=4246519
👉👉换成支持ipv6,http://www.lizhinas.top:8688/rtp/239.252.220.179:5140
👉👉支持所有线路,http://live.dxms.top/dwy/jyjc.php
👉👉直播高清流畅,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
👉👉更换享受超清,http://183.66.15.138:4070/udp/235.254.198.97:1664


💕央视频道,#genre#
CCTV1,http://kxrj.site:1333/86/mg.php?id=cctv1
CCTV2,http://kxrj.site:1333/86/mg.php?id=cctv2
CCTV3,http://kxrj.site:1333/86/mg.php?id=cctv3
CCTV4,http://kxrj.site:1333/86/mg.php?id=cctv4
CCTV5,http://kxrj.site:1333/86/mg.php?id=cctv5
CCTV5+,http://kxrj.site:1333/86/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:1333/86/mg.php?id=cctv6
CCTV7,http://kxrj.site:1333/86/mg.php?id=cctv7
CCTV8,http://kxrj.site:1333/86/mg.php?id=cctv8
CCTV9,http://kxrj.site:1333/86/mg.php?id=cctv9
CCTV10,http://kxrj.site:1333/86/mg.php?id=cctv10
CCTV11,http://kxrj.site:1333/86/mg.php?id=cctv11
CCTV12,http://kxrj.site:1333/86/mg.php?id=cctv12
CCTV13,http://kxrj.site:1333/86/mg.php?id=cctv13
CCTV14,http://kxrj.site:1333/86/mg.php?id=cctv14
CCTV15,http://kxrj.site:1333/86/mg.php?id=cctv15
CCTV17,http://kxrj.site:1333/86/mg.php?id=cctv17
CT4欧洲,http://kxrj.site:1333/86/mg.php?id=cctv4o
CT4美洲,http://kxrj.site:1333/86/mg.php?id=cctv4a
CGT纪录,http://kxrj.site:1333/86/mg.php?id=cgtnjl
CGT西语,http://kxrj.site:1333/86/mg.php?id=cgtne
CGT阿语,http://kxrj.site:1333/86/mg.php?id=cgtna
CGT法语,http://kxrj.site:1333/86/mg.php?id=cgtnf
CGT俄语,http://kxrj.site:1333/86/mg.php?id=cgtnr
家庭影院,http://kxrj.site:1333/86/mg.php?id=chcjt
动作电影,http://kxrj.site:1333/86/mg.php?id=chcdz
发现之旅,http://kxrj.site:1333/86/mg.php?id=fxzl
老故事台,http://kxrj.site:1333/86/mg.php?id=lgs
中学生台,http://kxrj.site:1333/86/mg.php?id=zxs

CCTV1,http://43.138.11.122/cq/yh.php?id=G_CCTV-1-CQ
CCTV2,http://43.138.11.122/cq/yh.php?id=G_CCTV-2-CQ
CCTV3,http://43.138.11.122/cq/yh.php?id=G_CCTV-3-CQ
CCTV4,http://43.138.11.122/cq/yh.php?id=G_CCTV-4-CQ
CCTV5,http://43.138.11.122/cq/yh.php?id=G_CCTV-5-CQ
CCTV5+,http://43.138.11.122/cq/yh.php?id=G_CCTV-5PLUS-CQ
CCTV6,http://43.138.11.122/cq/yh.php?id=G_CCTV-6-CQ
CCTV7,http://43.138.11.122/cq/yh.php?id=G_CCTV-7-CQ
CCTV8,http://43.138.11.122/cq/yh.php?id=G_CCTV-8-CQ
CCTV9,http://43.138.11.122/cq/yh.php?id=G_CCTV-9-CQ
CCTV10,http://43.138.11.122/cq/yh.php?id=G_CCTV-10-CQ
CCTV11,http://43.138.11.122/cq/yh.php?id=G_CCTV-11-CQ
CCTV12,http://43.138.11.122/cq/yh.php?id=G_CCTV-12-CQ
CCTV13,http://43.138.11.122/cq/yh.php?id=G_CCTV-13-CQ
CCTV14,http://43.138.11.122/cq/yh.php?id=G_CCTV-14-CQ
CCTV15,http://43.138.11.122/cq/yh.php?id=G_CCTV-15-CQ
CCTV16,http://43.138.11.122/cq/yh.php?id=G_CCTV-16-CQ
CCTV17,http://43.138.11.122/cq/yh.php?id=G_CCTV-17-CQ
CGTN,http://43.138.11.122/cq/yh.php?id=G_CCTV-NEWS
CGTNPYCCNN,http://43.138.11.122/cq/yh.php?id=G_CGTN-PYCCNN
CGTNESPANOl,Lhttp://43.138.11.122/cq/yh.php?id=G_CGTN-ESPANOL
CGTNFRANCAIS,http://43.138.11.122/cq/yh.php?id=G_CGTN-FRANCAIS
CGTNA,http://43.138.11.122/cq/yh.php?id=G_CGTN_A

CCTV1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://39.134.134.43/000000001001/PLTV/88888888/224/3221236219/index.m3u8?HlsProfileId=

CCTV2,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,http://39.134.134.48/000000001001/PLTV/88888888/224/3221235743/index.m3u8?HlsProfileId=

CCTV3,https://api.livednow.org/migu/624878271?sign=gAAAAABnJcJqBzuFtK_e-R8Y5zzuNWtH9dD5ErIUOw3PaGq-2cUt_ty4tVxaFlKDox0cB51jc5h1UbnYdWwVB34WOYuNc8lg2HAeZSq8eQxhLSx7-W74CNR6KtgxXvTUzW_5zsQ33PZEpqm7sIuxliL32bQtzxcIIdpid2Gub7vsNYzKJWuVjAicsjoVCenU41Q5dMi8XPDUfnmgkYYiwWzmBdMXqP4I5A%3D%3D
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3,http://39.134.134.46/000000001001/PLTV/88888888/224/3221280363/index.m3u8?HlsProfileId=

CCTV4,https://api.livednow.org/migu/631780421?sign=gAAAAABnJcJqz7oNO-xridbK_3LKb0rcdjVs_WY_BR-BFoq8eOg8Qvn3RMaRgOohlrGPc3mJhNalk-OevwcUL7y3ObKzAeZuWtWBxqyoXyW34cmtmAnNx9EC9rXDbjauxADNT6Li789Xmb3ezb7EUlD91o2aUf1qh-cxlGyyOjS9aZEyU-1CBA-uJhURtKm5m9k2wQBuSTDlSq_X2EYHz1jXzPXsKoJ7eA%3D%3D
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV4,http://39.134.134.48/000000001001/PLTV/88888888/224/3221236202/index.m3u8?HlsProfileId=

CCTV4欧洲,https://api.livednow.org/migu/608807419?sign=gAAAAABnJcJqqvN9kTkAiHC8GdaGGmmbLi62YsEYOIuOPI9Lac2D2d4KyQai_cbU9d1Blh-fo0li6MavI-f58Er_gvlCd7t5C35cmlxT7M-_SLOpCAeJgeSr4BD0t2Qt_Lrj7ZNsq8dCuNIPRnB-w0rJUjAiBMu0RFBQJ30fHcImYBrTGcTWrqXF53LpJSl0ymgtMaVrO9Y-HiqIUJkzyN8e6BTQQykZiQ%3D%3D
